Store,2024,Store_ID,Store_Status,Postal_Code,City,GPS_Coordinates,Poststed,Region_Code,Region_Name,Municipality_Code,Municipality_Name,PostnummerKategoriKode,PostnummerKategori,Latitude,Longitude
narvik,406413.914,256,Open,8514,Narvik,68.4410756;17.4356356,NARVIK,18,NORDLAND,1805,NARVIK,G,Gateadresser og stedsadresser,68.4144800,17.4342900
nesna,26974.077,108,Open,8700,Nesna,66.1997614;13.0234424,NESNA,18,NORDLAND,1828,NESNA,G,Gateadresser og stedsadresser,66.1974200,13.0236900
rognan,85882.62499999999,328,Open,8250,Rognan,67.1020723;15.3972889,ROGNAN,18,NORDLAND,1840,SALTDAL,G,Gateadresser og stedsadresser,67.0898500,15.3788100
sandnessjoen,193895.114,268,Open,8800,Sandnessjøen,66.02200791; 12.6339,SANDNESSJØEN,18,NORDLAND,1820,ALSTAHAUG,G,Gateadresser og stedsadresser,66.0126300,12.6063200
sortland,316365.033,272,Open,8400,Sortland,68.6943635;15.4161171,SORTLAND,18,NORDLAND,1870,SORTLAND,G,Gateadresser og stedsadresser,68.6970190,15.4135290
steigen,59628.591,456,Open,8283,Leinesfjord,67.77607509;15.01445621,LEINESFJORD,18,NORDLAND,1848,STEIGEN,G,Gateadresser og stedsadresser,67.7755000,15.0154000
stokmarknes,135983.381,341,Open,8450,Stokmarknes,68.5671571;14.9123333,STOKMARKNES,18,NORDLAND,1866,HADSEL,B,Både gateadresser og postbokser,68.5676700,14.9131400
svolvar,255329.996,284,Open,8300,Svolvær,68.2333;14.559,SVOLVÆR,18,NORDLAND,1865,VÅGAN,G,Gateadresser og stedsadresser,68.2322400,14.5645240
ornes,108066.39499999999,185,Open,8150,Ørnes,66.87245;13.70553,ØRNES,18,NORDLAND,1837,MELØY,G,Gateadresser og stedsadresser,66.8742900,13.7119900
"oslo, aker brygge",471466.073,114,Open,250,Oslo,59.9106345;10.7259311,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9099300,10.7250700
"oslo, alna",304473.638,117,Open,668,Oslo,59.9258197;10.8469616,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9270700,10.8449800
"oslo, bjorvika, apnet 14. mars 2024",101420.90000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oslo, briskeby",309009.337,104,Open,259,Oslo,59.9206481;10.7169757,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9211000,10.7170400
"oslo, bryn",276547.662,475,Open,667,Oslo,59.9031958;10.8224587,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9069000,10.8206000
"oslo, boler",230605.098,440,Open,689,Oslo,59.8830397;10.8458152,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.8796800,10.8527300
"oslo, carl berner",252411.72900000002,459,Open,571,Oslo,59.9277545;10.7791509,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9255600,10.7751850
"oslo, cc vest",1130306.808,127,Open,283,Oslo,59.9176495;10.6363590,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9179300,10.6441700
"oslo, frogner",388469.26900000003,111,Open,265,Oslo,59.9188589;10.7073207,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9184300,10.7047300
"oslo, grorud",247303.77800000002,389,Open,963,Oslo,59.96019;10.88067,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9641000,10.8819200
"oslo, grunerlokka",395311.877,115,Open,551,Oslo,59.9211573;10.7571369,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9217700,10.7564700
"oslo, gronland basar",293979.60699999996,361,Open,190,Oslo,59.9134;10.7642,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9120400,10.7656600
"oslo, hasle torg",362458.49900000007,182,Open,579,Oslo,59.9235696;10.7927,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9257700,10.7941500
"oslo, holmlia",180324.69799999997,122,Open,1255,Oslo,59.8348282;10.794902,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.8346860,10.7957410
"oslo, kiellandsplass",388495.608,178,Open,175,Oslo,59.92821;10.7505016327,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9265200,10.7512700
"oslo, lambertseter",675368.9330000001,374,Open,1153,Oslo,59.87490;10.81045,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.8779300,10.8116500
"oslo, linderud",317676.534,132,Open,594,Oslo,59.9432411;10.8354604,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9417300,10.8358700
"oslo, majorstuen",539999.7270000001,136,Open,369,Oslo,59.9307;10.71,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9320800,10.7065200
"oslo, manglerud",331399.572,138,Open,679,Oslo,59.8972890;10.8128575,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.8961600,10.8142900
"oslo, mortensrud",183718.734,403,Open,1281,Oslo,59.8484191895;10.8291940,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.8450600,10.8281700
"oslo, nydalen",172440.44700000001,417,Open,484,Oslo,59.949113;10.7663752,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9484700,10.7676900
"oslo, oslo city",627185.5140000001,143,Open,50,Oslo,59.9126054;10.7515334,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9126700,10.7522400
"oslo, oslo s",518410.095,118,Open,154,Oslo,59.9108801;10.7507337,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9113800,10.7481100
"oslo, paleet",287198.75100000005,141,Open,162,Oslo,59.9142166;10.7393055,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9135790,10.7380350
"oslo, roa",500006.493,335,Open,751,Oslo,59.9461948;10.6433335,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9424700,10.6394900
"oslo, sandaker",482385.165,152,Open,477,Oslo,59.9384265;10.7684746,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9364400,10.7647300
"oslo, skoyen",609928.772,393,Open,277,Oslo,59.9211216;10.677531,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9208500,10.6777600
"oslo, steen & strom",232917.03,286,Open,157,Oslo,59.9117037;10.7431080,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9102230,10.7396130
"oslo, storo",578220.0650000001,161,Open,485,Oslo,59.9472928;10.7738132,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9491500,10.7731500
"oslo, stovner",283396.186,162,Open,985,Oslo,59.9621379;10.9245156,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9617700,10.9261900
"oslo, thereses gate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oslo, tveita",419395.24299999996,145,Open,671,Oslo,59.9138363;10.8418900,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9108800,10.8443600
"oslo, ullevaal stadion",470632.665,334,Open,855,Oslo,59.9501652;10.7348884,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9532300,10.7337200
"oslo, valkyrien",367858.382,471,Open,366,Oslo,59.9281069;10.7187714,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9283400,10.7180800
"oslo, vinderen",299933.973,454,Open,370,Oslo,59.9421870311;10.704102,OSLO,03,OSLO,0301,OSLO,G,Gateadresser og stedsadresser,59.9373400,10.7016700
aksdal,208713.142,103,Open,5570,Aksdal,59.42203;5.44446,AKSDAL,11,ROGALAND,1146,TYSVÆR,G,Gateadresser og stedsadresser,59.4214610,5.4455280
bryne,300424.384,326,Open,4340,Bryne,58.73560;5.63999,BRYNE,11,ROGALAND,1121,TIME,G,Gateadresser og stedsadresser,58.7346280,5.6481140
egersund,241781.89,209,Open,4370,Egersund,58.4519924;6.0035543,EGERSUND,11,ROGALAND,1101,EIGERSUND,G,Gateadresser og stedsadresser,58.4513300,6.0000400
haugesund,461136.74399999995,218,Open,5528,Haugesund,59.4109400;5.2737099,HAUGESUND,11,ROGALAND,1106,HAUGESUND,G,Gateadresser og stedsadresser,59.4097800,5.2756200
jorpeland,198898.02900000004,308,Open,4100,Jørpeland,59.0216289;6.0415989,JØRPELAND,11,ROGALAND,1130,STRAND,G,Gateadresser og stedsadresser,59.0257400,6.0418700
"karmoy, kopervik",270386.467,168,Open,4250,Kopervik,59.2804227;5.3041950,KOPERVIK,11,ROGALAND,1149,KARMØY,G,Gateadresser og stedsadresser,59.2822600,5.3055810
"karmoy, oasen",519833.807,449,Open,5542,Karmsund,59.3771667541609;5.30601,KARMSUND,11,ROGALAND,1149,KARMØY,G,Gateadresser og stedsadresser,59.3778350,5.3068260
klepp,353136.14099999995,385,Open,4351,Kleppe,58.7794;5.6257,NA,NA,NA,NA,NA,NA,NA,NA,NA
narbo,170139.717,431,Open,4365,Nærbø,58.6681518555;5.641,NÆRBØ,11,ROGALAND,1119,HÅ,G,Gateadresser og stedsadresser,58.6661830,5.6395480
randaberg,269547.26100000006,399,Open,4070,Randaberg,58.99831;5.61754,RANDABERG,11,ROGALAND,1127,RANDABERG,G,Gateadresser og stedsadresser,58.9995110,5.6177040
sandnes sentrum,734187.9720000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sandnes, kvadrat",653551.7080000001,116,Open,4313,Sandnes,58.876707;5.721903,SANDNES,11,ROGALAND,1102,SANDNES,G,Gateadresser og stedsadresser,58.8687100,5.7313500
sauda,93884.73799999998,147,Open,4200,Sauda,59.6497472;6.3551339,SAUDA,11,ROGALAND,1135,SAUDA,G,Gateadresser og stedsadresser,59.6507010,6.3540850
"sola, solakrossen",433717.875,355,Open,4050,Sola,58.8821927;5.65257310,SOLA,11,ROGALAND,1124,SOLA,G,Gateadresser og stedsadresser,58.8861420,5.6480120
"sola, tananger, apnet 3. oktober",39734.73999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stavanger, herbarium",333243.639,227,Open,4005,Stavanger,58.9699142;5.7277930,STAVANGER,11,ROGALAND,1103,STAVANGER,G,Gateadresser og stedsadresser,58.9707100,5.7275300
"stavanger, hillevag",605762.19,221,Open,4016,Stavanger,58.9479866;5.7391150,STAVANGER,11,ROGALAND,1103,STAVANGER,G,Gateadresser og stedsadresser,58.9460400,5.7377500
"stavanger, hinna",217138.614,436,Open,4020,Stavanger,58.9149059;5.7293891,STAVANGER,11,ROGALAND,1103,STAVANGER,G,Gateadresser og stedsadresser,58.9216400,5.7201300
"stavanger, madla",578292.915,416,Open,4042,Hafrsfjord,58.952;5.679,HAFRSFJORD,11,ROGALAND,1103,STAVANGER,G,Gateadresser og stedsadresser,58.9527400,5.6687200
"stavanger, tasta",276528.28,450,Open,4027,Stavanger,58.984417;5.689802,STAVANGER,11,ROGALAND,1103,STAVANGER,G,Gateadresser og stedsadresser,58.9839200,5.6883900
"stavanger, verksgata",463956.767,231,Open,4013,Stavanger,58.971384;5.73688,STAVANGER,11,ROGALAND,1103,STAVANGER,G,Gateadresser og stedsadresser,58.9710300,5.7430140
suldal,38944.66499999999,106,Open,4230,Sand,59.483745;6.25048,SAND,11,ROGALAND,1134,SULDAL,G,Gateadresser og stedsadresser,59.4845620,6.2510920
olen,87793.05,400,Open,5580,Ølen,59.6037975;5.8073418,ØLEN,11,ROGALAND,1160,VINDAFJORD,G,Gateadresser og stedsadresser,59.6061400,5.8196600
algard,242054.96800000002,405,Open,4330,Ålgård,58.7702331543;5.846295356,ÅLGÅRD,11,ROGALAND,1122,GJESDAL,G,Gateadresser og stedsadresser,58.7674550,5.8497050
bo i telemark,175067.31400000004,166,Open,3800,Bø I Telemark,59.411319;9.0708273,BØ I TELEMARK,08,TELEMARK,0821,BØ (TEL.),G,Gateadresser og stedsadresser,59.4135350,9.0654910
drangedal,70802.405,365,Open,3750,Drangedal,59.090148;9.064751,DRANGEDAL,08,TELEMARK,0817,DRANGEDAL,G,Gateadresser og stedsadresser,59.0884280,9.0651800
kragero,272755.364,257,Open,3770,Kragerø,58.8694714;9.4152940,KRAGERØ,08,TELEMARK,0815,KRAGERØ,G,Gateadresser og stedsadresser,58.8688700,9.4117900
notodden,249673.761,273,Open,3674,Notodden,59.557;9.2551,NOTODDEN,08,TELEMARK,0807,NOTODDEN,G,Gateadresser og stedsadresser,59.5600400,9.2600500
"porsgrunn, down town",342285.55399999995,113,Open,3921,Porsgrunn,59.137276 ; 9.640192,PORSGRUNN,08,TELEMARK,0805,PORSGRUNN,G,Gateadresser og stedsadresser,59.1375000,9.6457900
"porsgrunn, jernbanegata",264157.15900000004,277,Open,3916,Porsgrunn,59.139461;9.6548329,PORSGRUNN,08,TELEMARK,0805,PORSGRUNN,G,Gateadresser og stedsadresser,59.1367700,9.6573200
rjukan,105501.09799999998,281,Open,3660,Rjukan,59.8792932;8.5914546,RJUKAN,08,TELEMARK,0826,TINN,G,Gateadresser og stedsadresser,59.8797900,8.5798900
seljord,113486.84,320,Open,3840,Seljord,59.4815588;8.6285004,SELJORD,08,TELEMARK,0828,SELJORD,G,Gateadresser og stedsadresser,59.4854500,8.6314000
"skien, gratenmoen",496904.90900000004,181,Open,3734,Skien,59.1858561;9.6138639,SKIEN,08,TELEMARK,0806,SKIEN,G,Gateadresser og stedsadresser,59.1826000,9.6098000
"skien, lietorvet",362590.88700000005,290,Open,3717,Skien,59.2104061;9.6049850,SKIEN,08,TELEMARK,0806,SKIEN,G,Gateadresser og stedsadresser,59.2139400,9.6036700
stathelle,334774.039,128,Open,3960,Stathelle,59.0458676;9.6938645,STATHELLE,08,TELEMARK,0814,BAMBLE,G,Gateadresser og stedsadresser,59.0455880,9.6947480
ulefoss,57025.295000000006,353,Open,3830,Ulefoss,59.2808;9.2684,ULEFOSS,08,TELEMARK,0819,NOME,G,Gateadresser og stedsadresser,59.2841230,9.2632340
vinje,76820.477,305,Open,3890,Vinje,59.5684789;7.9896919,VINJE,08,TELEMARK,0834,VINJE,G,Gateadresser og stedsadresser,59.5691000,7.9881000
bardufoss,162338.317,278,Open,9325,Bardufoss,69.064059087;18.504678010,BARDUFOSS,19,TROMS,1924,MÅLSELV,G,Gateadresser og stedsadresser,69.0652970,18.5103320
evenskjer,104029.451,413,Open,9440,Evenskjer,68.5837542;16.571922,EVENSKJER,19,TROMS,1913,SKÅNLAND,G,Gateadresser og stedsadresser,68.5836970,16.5722540
finnsnes,312229.6820000001,216,Open,9300,Finnsnes,69.230187;17.977495,FINNSNES,19,TROMS,1931,LENVIK,G,Gateadresser og stedsadresser,69.2303090,17.9854770
harstad,490756.9380000001,224,Open,9405,Harstad,68.7989869;16.5456354,HARSTAD,19,TROMS,1903,HARSTAD,G,Gateadresser og stedsadresser,68.7995910,16.5445090
lyngen,41538.223,444,Open,9060,Lyngseidet,69.5747451;20.2069277,LYNGSEIDET,19,TROMS,1938,LYNGEN,G,Gateadresser og stedsadresser,69.5756520,20.2191350
setermoen,70656.55399999999,360,Open,9360,Bardu,68.861521;18.345065,BARDU,19,TROMS,1922,BARDU,G,Gateadresser og stedsadresser,68.8614280,18.3367400
sjovegan,54437.784,368,Open,9350,Sjøvegan,68.8748;17.8348,SJØVEGAN,19,TROMS,1923,SALANGEN,G,Gateadresser og stedsadresser,68.8726000,17.8474000
skjervoy,37412.674,327,Open,9180,Skjervøy,70.0330362;20.9742469,SKJERVØY,19,TROMS,1941,SKJERVØY,G,Gateadresser og stedsadresser,70.0326000,20.9744000
storslett,127460.80500000001,269,Open,9151,Storslett,69.76861;21.003499,STORSLETT,19,TROMS,1942,NORDREISA,G,Gateadresser og stedsadresser,69.7695600,21.0252840
storsteinnes,80753.97899999999,317,Open,9050,Storsteinnes,69.239712;19.227018,STORSTEINNES,19,TROMS,1933,BALSFJORD,G,Gateadresser og stedsadresser,69.2400460,19.2255160
"tromso, langnes",864760.398,282,Open,9015,Tromsø,69.6746614;18.9203755,TROMSØ,19,TROMS,1902,TROMSØ,G,Gateadresser og stedsadresser,69.6757700,18.9365500
"tromso, sentrum",492755.94100000005,292,Open,9008,Tromsø,69.6461;18.9545,TROMSØ,19,TROMS,1902,TROMSØ,G,Gateadresser og stedsadresser,69.6509100,18.9561300
"tromso, tromsdalen",472422.497,288,Open,9020,Tromsdalen,69.6399623;18.9708618,TROMSDALEN,19,TROMS,1902,TROMSØ,G,Gateadresser og stedsadresser,69.6450280,18.9960650
bjugn,59975.853,428,Open,7160,Bjugn,63.765171051;9.811869621,BJUGN,16,SØR-TRØNDELAG,1627,BJUGN,G,Gateadresser og stedsadresser,63.7651140,9.8098040
brekstad,139094.817,206,Open,7130,Brekstad,63.6888835;9.6661806,BREKSTAD,16,SØR-TRØNDELAG,1621,ØRLAND,G,Gateadresser og stedsadresser,63.6888000,9.6600500
"buvika, apent 24. oktober",20746.524999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
frosta,45332.595,465,Open,7633,Frosta,63.58850889;10.74017901,FROSTA,17,NORD-TRØNDELAG,1717,FROSTA,G,Gateadresser og stedsadresser,63.5870600,10.7405950
froya,90037.515,358,Open,7260,Sistranda,63.728833;8.828094,SISTRANDA,16,SØR-TRØNDELAG,1620,FRØYA,G,Gateadresser og stedsadresser,63.7284500,8.8334100
grong,81193.161,315,Open,7870,Grong,64.4645233;12.3147064,GRONG,17,NORD-TRØNDELAG,1742,GRONG,G,Gateadresser og stedsadresser,64.4645200,12.3147100
hitra,103181.80500000002,314,Open,7240,Hitra,63.6019304;8.9770929,HITRA,16,SØR-TRØNDELAG,1617,HITRA,G,Gateadresser og stedsadresser,63.6020300,8.9679100
inderoy,63629.796,446,Open,7670,Inderøy,63.8735416;11.2972103,INDERØY,17,NORD-TRØNDELAG,1756,INDERØY,G,Gateadresser og stedsadresser,63.8709000,11.2999000
kolvereid,56899.56,243,Open,7970,Kolvereid,64.865348;11.604309,KOLVEREID,17,NORD-TRØNDELAG,1751,NÆRØY,G,Gateadresser og stedsadresser,64.8629600,11.6040200
kyrksaterora,80149.236,313,Open,7200,Kyrksæterøra,63.291027;9.088997,KYRKSÆTERØRA,16,SØR-TRØNDELAG,1612,HEMNE,G,Gateadresser og stedsadresser,63.2936500,9.0778200
levanger,297650.443,236,Open,7600,Levanger,63.74901167;11.3023626,LEVANGER,17,NORD-TRØNDELAG,1719,LEVANGER,G,Gateadresser og stedsadresser,63.7464000,11.2996000
malvik,184208.481,383,Open,7550,Hommelvik,63.420483;10.755336,HOMMELVIK,16,SØR-TRØNDELAG,1663,MALVIK,G,Gateadresser og stedsadresser,63.4114280,10.7942990
"melhus, butikken stengt i 2023 pga kranvelt",180916.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
namsos,323104.26,252,Open,7800,Namsos,64.468429;11.491356,NAMSOS,17,NORD-TRØNDELAG,1703,NAMSOS,G,Gateadresser og stedsadresser,64.4675040,11.4917850
oppdal,250916.345,260,Open,7340,Oppdal,62.5944821;9.6902327,OPPDAL,16,SØR-TRØNDELAG,1634,OPPDAL,G,Gateadresser og stedsadresser,62.5935780,9.6861650
orkanger,387377.827,262,Open,7300,Orkanger,63.2971;9.8446,ORKANGER,16,SØR-TRØNDELAG,1638,ORKDAL,G,Gateadresser og stedsadresser,63.3085700,9.8542200
rissa,87868.63,340,Open,7100,Rissa,63.5842865;9.9617790,RISSA,16,SØR-TRØNDELAG,1624,RISSA,G,Gateadresser og stedsadresser,63.5841720,9.9592300
roros,165133.904,264,Open,7374,Røros,62.5756317;11.3811411,RØROS,16,SØR-TRØNDELAG,1640,RØROS,G,Gateadresser og stedsadresser,62.5744100,11.3790960
rorvik,101952.481,382,Open,7900,Rørvik,64.8621;11.2408,RØRVIK,17,NORD-TRØNDELAG,1750,VIKNA,B,Både gateadresser og postbokser,64.8655600,11.2348200
selbu,56877.119,423,Open,7580,Selbu,63.2193031311;11.04035377,SELBU,16,SØR-TRØNDELAG,1664,SELBU,G,Gateadresser og stedsadresser,63.2259400,11.0350800
steinkjer,439011.763,276,Open,7714,Steinkjer,64.0102864;11.4925281,STEINKJER,17,NORD-TRØNDELAG,1702,STEINKJER,G,Gateadresser og stedsadresser,64.0083000,11.4952000
stjordal,399170.426,280,Open,7500,Stjørdal,63.4689457;10.9242615,STJØRDAL,17,NORD-TRØNDELAG,1714,STJØRDAL,G,Gateadresser og stedsadresser,63.4695400,10.9207210
storen,110201.7,189,Open,7290,Støren,63.0479816;10.2832379,STØREN,16,SØR-TRØNDELAG,1648,MIDTRE GAULDAL,G,Gateadresser og stedsadresser,63.0371000,10.2840700
"trondheim, byhaven",211446.65000000002,140,Open,7011,Trondheim,63.4333497;10.3962676,TRONDHEIM,16,SØR-TRØNDELAG,1601,TRONDHEIM,G,Gateadresser og stedsadresser,63.4322400,10.3967900
"trondheim, byasen",357771.47599999997,401,Open,7020,Trondheim,63.4173929;10.3539599,TRONDHEIM,16,SØR-TRØNDELAG,1601,TRONDHEIM,G,Gateadresser og stedsadresser,63.4201400,10.3566800
"trondheim, city syd",580361.701,120,Open,7075,Tiller,63.3682271;10.3809509,TILLER,16,SØR-TRØNDELAG,1601,TRONDHEIM,G,Gateadresser og stedsadresser,63.3639000,10.3858000
"trondheim, heimdal",295726.309,460,Open,7080,Heimdal,63.3515349;10.354883,HEIMDAL,16,SØR-TRØNDELAG,1601,TRONDHEIM,G,Gateadresser og stedsadresser,63.3477400,10.3537990
"trondheim, lade",579853.841,336,Open,7041,Trondheim,63.4433483;10.4478454,TRONDHEIM,16,SØR-TRØNDELAG,1601,TRONDHEIM,G,Gateadresser og stedsadresser,63.4444000,10.4457900
"trondheim, nedre elvehavn",346529.887,322,Open,7014,Trondheim,63.4354311;10.4125994,TRONDHEIM,16,SØR-TRØNDELAG,1601,TRONDHEIM,G,Gateadresser og stedsadresser,63.4319900,10.3990400
"trondheim, sirkus shopping",394327.99899999995,146,Open,7044,Trondheim,63.436258;10.456246,TRONDHEIM,16,SØR-TRØNDELAG,1601,TRONDHEIM,G,Gateadresser og stedsadresser,63.4360810,10.4559800
"trondheim, trondheim torg",488800.108,160,Open,7013,Trondheim,63.429574;10.393581,TRONDHEIM,16,SØR-TRØNDELAG,1601,TRONDHEIM,G,Gateadresser og stedsadresser,63.4267800,10.4020200
"trondheim, valentinlyst",681058.6540000001,180,Open,7046,Trondheim,63.4249487;10.4424205,TRONDHEIM,16,SØR-TRØNDELAG,1601,TRONDHEIM,G,Gateadresser og stedsadresser,63.4205510,10.4466250
verdal,190135.72,337,Open,7650,Verdal,63.7918493;11.4852398,VERDAL,17,NORD-TRØNDELAG,1721,VERDAL,G,Gateadresser og stedsadresser,63.7933000,11.4817000
afjord,69360.901,402,Open,7170,Åfjord,63.9606778;10.2241256,ÅFJORD,16,SØR-TRØNDELAG,1630,ÅFJORD,G,Gateadresser og stedsadresser,63.9647500,10.2111100
andebu,90309.912,425,Open,3158,Andebu,59.3046;10.1767,ANDEBU,07,VESTFOLD,0719,ANDEBU,G,Gateadresser og stedsadresser,59.3038500,10.1819400
holmestrand,201345.19600000003,233,Open,3080,Holmestrand,59.4870965;10.3187023,HOLMESTRAND,07,VESTFOLD,0702,HOLMESTRAND,G,Gateadresser og stedsadresser,59.4872860,10.3003260
horten,354878.007,237,Open,3187,Horten,59.4151698;10.4862476,HORTEN,07,VESTFOLD,0701,HORTEN,G,Gateadresser og stedsadresser,59.4090200,10.4817000
larvik,528793.835,258,Open,3256,Larvik,59.0537;10.0292,LARVIK,07,VESTFOLD,0709,LARVIK,G,Gateadresser og stedsadresser,59.0544800,10.0276100
notteroy,664546.811,142,Open,3120,Nøtterøy,59.2525672;10.4184750,NØTTERØY,07,VESTFOLD,0722,NØTTERØY,G,Gateadresser og stedsadresser,59.2458700,10.4210100
re,263354.045,381,Open,3174,Revetal,59.3725;10.2696,REVETAL,07,VESTFOLD,0716,RE,G,Gateadresser og stedsadresser,59.3715820,10.2640200
sande,191606.562,407,Open,3070,Sande I Vestfold,59.58743;10.20635,SANDE I VESTFOLD,07,VESTFOLD,0713,SANDE (V.),G,Gateadresser og stedsadresser,59.5851520,10.2080800
sandefjord,906087.7359999999,283,Open,3210,Sandefjord,59.1293529;10.2252665,SANDEFJORD,07,VESTFOLD,0706,SANDEFJORD,G,Gateadresser og stedsadresser,59.1308000,10.2269400
stavern,309100.274,404,Open,3290,Stavern,59.000063;10.034292,STAVERN,07,VESTFOLD,0709,LARVIK,G,Gateadresser og stedsadresser,58.9881040,10.0092100
stokke,272692.616,398,Open,3160,Stokke,59.22133;10.30301,STOKKE,07,VESTFOLD,0720,STOKKE,G,Gateadresser og stedsadresser,59.2232840,10.2983550
tjome,215651.798,376,Open,3145,Tjøme,59.1225;10.399,TJØME,07,VESTFOLD,0723,TJØME,G,Gateadresser og stedsadresser,59.1171210,10.3940960
tonsberg,573148.3840000001,295,Open,3110,Tønsberg,59.2692842;10.4117630,TØNSBERG,07,VESTFOLD,0704,TØNSBERG,G,Gateadresser og stedsadresser,59.2659600,10.4187100
asgardstrand,309929.805,463,Open,3179,Åsgårdstrand,59.34968406;10.46005725,ÅSGÅRDSTRAND,07,VESTFOLD,0701,HORTEN,G,Gateadresser og stedsadresser,59.3482000,10.4640200
askvoll,60224.57699999999,414,Open,6980,Askvoll,61.3459407;5.0627044,ASKVOLL,14,SOGN OG FJORDANE,1428,ASKVOLL,G,Gateadresser og stedsadresser,61.3495000,5.0769100
askoy,316864.497,148,Open,5300,Kleppestø,60.4101;5.2271,KLEPPESTØ,12,HORDALAND,1247,ASKØY,G,Gateadresser og stedsadresser,60.4123690,5.2218100
austevoll,78239.712,410,Open,5397,Bekkjarvik,60.007139;5.2049669,BEKKJARVIK,12,HORDALAND,1244,AUSTEVOLL,G,Gateadresser og stedsadresser,60.0071390,5.2047840
"bergen, arna",240361.136,165,Open,5260,Indre Arna,60.4213188;5.4650458,INDRE ARNA,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,60.4308000,5.4688500
"bergen, bergen storsenter",667340.116,121,Open,5015,Bergen,60.3892401;5.3318259,BERGEN,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,60.3901000,5.3214000
"bergen, fyllingsdalen",496646.70200000005,149,Open,5147,Fyllingsdalen,60.34911;5.291805,FYLLINGSDALEN,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,60.3493540,5.2905450
"bergen, lagunen",716075.5549999999,331,Open,5239,Rådal,60.297116;5.331159,RÅDAL,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,60.2974460,5.3302150
"bergen, laksevag",247641.378,373,Open,5163,Laksevåg,60.389466;5.286462,LAKSEVÅG,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,60.3918930,5.2769420
"bergen, nesttun",453920.048,163,Open,5221,Nesttun,60.3174630;5.3542358,NESTTUN,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,60.3131570,5.3466940
"bergen, sletten",528883.157,130,Open,5081,Bergen,60.3565955;5.3592388,BERGEN,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,60.3436100,5.3592210
"bergen, valkendorfsgate",610282.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
